Reference,ParentReference,Type,Order,Description:en-gb,InventoryNo,Parent Node ID,Caption:en-gb,DateCaption:en-gb,"Relevant Person title caption (for object, assets only)",Relevant person Node ID,Date:none,y-position,Text:en-gb,"Associated Hero Asset type (still, video, interactive, rotation)",Hero asset filename,Interactive info???,...
node.stephen-demainbray,,node.person,,Stephen Demainbray,,,Stephen Demainbray,1710-1782,,,1746,,"Stephen Charles Triboudet Demainbray, Esq. of Richmond was an English natural scientist and astronomer, who served during 1768-1782 as Superintendent of the King's Observatory at the Kew Observatory.",still,node.stephen-demainbray.jpg,,
node.george-iii-collection,,node.person,,George III Collection,,,George III Collection,Late 18th century,George III,,1800,,TEMP  George III supported the sciences and commissioned many scientists to do cool stuff with him and make pretty instruments,,node.george-iii-collection.jpg,,
node.thomas-wright-orrery,,node.artifact,,Thomas Wright Orrery,1927-1414,,Orrery,1740,Thomas Wright,"node.thomas-wright
node.royal-society",1740,,"<p>
The orrery was first demonstrated in 1735? at the ??  It was an extraordinary piece of engineering, etc.  It spawned a whole industry and clock makers etc produced ever more sophisticated models for wealthier clients wanting to have science’s sexiest toy in their living rooms.
</p><p>
This example was built by Thomas Wright in 1735.  Owned by so and so.  Made of wood and planets on sticks.  
</p><p>
The orrery worked by turning a handle, while inside the table a clock work mechanism rotated the 6 arms corresponding to Venus, Mars etc.
The object in the middle is the sun.
</p>",interactive,node.thomas-wright-orrery.jpg,,
node.thomas-wright,,node.person,,Thomas Wright bio screen,,,Thomas Wright,1711-1786,,,1744,,"Thomas Wright (22 September 1711 – 25 February 1786) was an English Astronomer, mathematician, instrument maker, architect and garden designer. He was the first to describe the shape of the Milky Way and speculate that faint nebulae were distant galaxies.",still,node.thomas-wright.jpg,,
node.air-pump,,node.artifact,,Air pump,1984-1144/1,,Vacuum Air pump,1780-1820,Dollond Family,node.dolland,1800,,"<p>
If something is invisible, how do you know it’s there?  And if you do find it, how do you convince anyone that you have?
</p><p>
In the mid 18th Century, this is the problem they have with air.   How can you prove to anyone that it exists?  The solution they come up with is to take it away and show that the world doesn’t work the same any more. 
</p>",interactive,node.air-pump.jpg,,
node.dollond,,node.person,,Dollond Family ,,,Dollond Family,1757-,,,1757,,TEMP the family who became famous as one half of Dollond and Aitchison. Instrument makers from London and eventually a household name for there optometry business.,,,,
node.electrical-cylinder,,node.artifact,,Joseph Priestly’s electrical machine,1990-246,,Electrical Cylinder,1790(c.),Joseph Priestly,"node.joseph-priestly
node.royal-society",1790,,"<p>
This electrical charge generator was exhibited as part of spectacular shows in London in the first half of the 19th century. It was also used in Francis Ronalds’ pioneering telegraph experiments.
</p>",interactive,node.electrical-cylinder.jpg,,
node.joseph-priestly,,node.person,,Joseph Priestly,,,Joseph Priestly,1733-1804,,,1768,,TEMP his bio,still,node.joseph-priestly.jpg,,
node.phrenological-heads,,node.artifact,,Phrenological Heads,A642804,,Bally’s Heads,1831,William Bally,node.william-bally,1831,,"Bally was a popular lecturer on phrenology, who toured the country with this vast array of miniature heads, showing the different head-shapes and their relation to character traits.",interactive,node.phrenological-heads.jpg,,
node.william-bally,,node.person,,William Bally,,,William Bally,1799-1856,,,1825,,"TEMP William Bally was a Swiss sculptor active in Manchester, United Kingdom.",still,node.william-bally.jpg,,
node.great-exhibition-peep-show,,node.artifact,,Great Exhibition Peep Show,1984-823,,Peep Show from the Great Exhibition,1851,,node.great-exhibition,1851,,TEMP This peep show was created to joyfully commemorate the spectacle that was the Great Exhibition.,interactive,node.great-exhibition-peep-show.jpg,,
node.great-exhibition,,node.person,,The Great Exhibiiton,,,The Great Exhibition,1851,,,1851,,TEMP Quite literally - a great exhibition etc etc.   Alongside the best of the world’s technology the spectators (who paid x per head) could also use the world’s first public convenience.,interactive,node.great-exhibition-peep-show.jpg,,
node.apollo-10,,node.artifact,,Apollo 10 main object,1976-106,,Apollo 10 Command Module,1969,NASA,,1969,,"<p>
In  May 1961, when President Kennedy proposed a Moon landing 'before this decade is out', he was committing the USA to a supreme focus for technological effort. The programme also reflected the Cold War competition between Soviet and American ideologies and defence fears in America that it might be losing the 'missile race' following the Soviet launch of Sputnik, the first artificial satellite, in 1957.
Although the Apollo programme had its roots in the fearful Cold War climate the Moon landing remains an extraordinary achievement at the limit of what was then possible. For example, the missions used, in aggregate, the largest amount of computing power ever assembled at this time, to control the navigation and rendezvous problems of the craft. It also represented a huge industrial effort which engaged 390,000 people and took over 5 percent of the US federal budget in 1965. The project generated enormous passion. North American Aviation, the contractors for the capsule, estimated that some 20 percent of the 500 million person hours in the project were contributed as free overtime by staff. </p><p>
In this capsule Tom Stafford, John Young and Gene Cernan travelled around the Moon in 1969 as a dress rehearsal for the Apollo 11 landing which followed in July. </p><p>
Many 'spin-offs' have been claimed for the Apollo flights, including the miniaturisation of computers, Teflon, and a huge boost to US technology. However, its most potent and enduring legacy perhaps lies in the views of Earth that the astronauts captured. These 'Earthrise' photographs resonated with a developing environmental consciousness and helped awaken us to the fragility of our planet. </p>",interactive,node.apollo-10.jpg,,
node.science-museum,,node.artifact,,The Science Museum as an Object,,,The Science Museum,1857-,,,2013,,TEMP The spirit of centuries of public engagement continues. etc etc,interactive,node.science-museum.jpg,,
node.mouse-trap-camera,,node.artifact,,Fox Talbot’s mousetrap cameras,1937-0344,,Mousetrap Photography,1834-36,Fox Talbot,node.fox-talbot,1835,,TEMP  Text on the mousetrap cameras,interactive,node.mouse-trap-camera.jpg,,
node.fox-talbot,,node.person,,Fox Talbot,,,William Fox Talbot,1800-1877,,,1839,,TEMP  bio about him,still,node.fox-talbot.jpg,,
node.journey-intro.1,,node.journey-intro,,Science at Play Intro,,,Science at Play,,,,,,"TEMP Intro text for Science at Play. Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",,,,
node.magic-lantern,,node.artifact,,Magic Lantern,1929-467,node.journey-intro.1,Magic Lantern,1830,,,1830,,TEMP Short caption text about the magic lantern,still,node.magic-lantern.jpg,,
node.wax-cylinder,,node.artifact,,Wax Cylinder and Phonograph,1960-57,,Phonograph and Wax Cylinder,1913,Thomas Edison,node.thomas-edison,1913,,TEMP - wax cylinders were the earliest form of commercial technology to record sound. ,interactive,node.wax-cylinder.jpg,,
node.thomas-edison,,node.person,,Thomas Edison,,,Thomas Edison,1847-1931,,,1889,,"TEMP- Thomas Alva Edison was an American inventor and businessman. He developed many devices that greatly influenced life around the world, including the phonograph, the motion picture camera, and a long-lasting, practical electric light bulb.",still,node.thomas-edison.jpg,,
node.pyrophone,,node.artifact,,"Pyrophone, Flame organ",1876-590,,The Flame Organ,1870s,,,1870,,TEMP text about the flame organ - it shoots flames by combustion when you play it.,interactive,node.pyrophone.jpg,,
node.maths-puzzles,,node.artifact,,Mathematical models/games,1989-797,,Mathematical Puzzles,1950s,Lionel Penrose,node.lionel-penrose,1950,,"TEMP Lionel Penrose, brother of the artist Roland, was one of the great pioneers of the visual representation of abstract theories – he made models of various puzzles, biological forms, and statistical phenomena.",interactive,node.maths-puzzles.jpg,,
node.lionel-penrose,,node.person,,Lionel Penrose,,,Lionel Penrose,1898-1972,,,1935,,"TEMP Lionel Sharples Penrose, FRS was a British psychiatrist, medical geneticist, mathematician and chess theorist, who carried out pioneering work on the genetics of mental retardation",still,node.lionel-penrose.jpg,,
node.apple-1,,node.artifact,,Apple 1,1999-915,,Apple 1 Computer,1976,Steve Wozniak and Steve Jobs,"node.steve-jobs
node.steve-wozniak",1976,,"TEMP Personal computer by Apple Computers, model Apple I, 1976-79. This was the first computer made by Apple Computers Inc, which became one of the fastest growing companies in history, launching a number of innovative and influential computer hardware and software products. Most home computer users in the 1970s were hobbyists who designed and assembled their own machines. The Apple I, devised in the family garage by Steve Wozniak, Steven Jobs and Ron Wayne, was a basic circuit board to which enthusiasts would add display units and keyboards.",interactive,node.apple-1.jpg,,
node.steve-jobs,,node.person,,Steve Jobs,,,Steve Jobs,1955-2011,,,1980,,TEMP his bio,still,node.steve-jobs.jpg,,
node.steve-wozniak,,node.person,,Steve Wozniak,,,Steve Wozniak,1950-,,,1980,,TEMP  bio about him,still,node.steve-wozniak.jpg,,
node.pilot-ace,,node.artifact,,Pilot Ace,1956-152,,The Pilot ACE,1950,Alan Turing,node.alan-turing,1950,,"TEMP This was one of the first electronic ‘universal’ computers. Its fundamental design was by Alan Turing, who wrote the specification in 1945 while working at the government’s National Physical Laboratory. It was completed in 1950. Turing’s idea was to build a large computer, to be known as the Automatic Computing Engine or ACE. But slow progress, coupled with changes in project direction imposed on Turing, left him deeply frustrated, and he quit in 1948. This small-scale trial version, called Pilot ACE, was completed in his absence.",rotateable,node.pilot-ace.jpg,,
node.alan-turing,,node.person,,Alan Turing,,,Alan Turing,1912-1954,,,1933,,TEMP  bio about him,still,node.alan-turing.jpg,,
node.cybernetic-tortoise,,node.artifact,,Cybernetic Tortoise,L2000-4441,,Cybernetic Tortoise,1950,,,1950,,"TEMP Shown at the Festival of Britain in 1951, this was a material demonstration of contemporary cybernetic theory.",interactive,node.cybernetic-tortoise.jpg,,
node.oramics-machine,,node.artifact,,Oramics Machine,2010-68,,Oramics Machine,1959,Daphne Oram,node.daphne-oram,1959,,TEMP crazy new way of making music,interactive,node.oramics-machine.jpg,,
node.daphne-oram,,node.person,,Daphne Oram- Oramics machine creator,,,Daphne Oram,1925-2003,,,1964,,TEMP  bio about her,still,,,
node.stylophone,,node.artifact,,"Stylophone, mini organ",1968-746,,The Mini Organ,1968,"Rolf Harris, Brian Jarvis",,1968,,"TEMP The Stylophone is a miniature analog stylus-operated synthesizer invented in 1967 by Brian Jarvis and going into production in 1968. It consists of a metal keyboard played by touching it with a stylus — each note being connected to a voltage controlled oscillated via a different-value resistor - thus closing a circuit. The only other controls were a power switch and a vibrato control on the front panel beside the keyboard, and a tuning control on the rear. Some three million Stylophones were sold, mostly as children's toys.Rolf Harris appeared for several years as the Stylophone's advertising spokesman in the UK and appeared on many ""play-along"" records sold by the manufacturer.",interactive,node.stylophone.jpg,,
node.vcs3,,node.artifact,,EMS VCS3 synthesiser,,,EMS VCS3,1970,,,1970,,"TEMP Synthesisers provided a wide open palette of colours and sounds to play with, but you still had to choose what you wanted to do and learn the discipline of this new technological form.’ Dick Mills ",interactive,node.vcs3.jpg,,
node.hookes-universal-joint,,node.artifact,,Hooke’s universal joint,1927-1109,,Hooke’s Universal Joint,1760(c.),Robert Hooke,"node.robert-hooke
node.royal-society",1760,,"TEMP Ahead of its time, now used in axels, steering columns etc.",interactive,node.hookes-universal-joint.jpg,,
node.hookes-microscope,,node.artifact,,Hooke’s Microscope,1928-786,,Hooke’s Microscope,1670(c.),Robert Hooke,"node.robert-hooke
node.royal-society",1670,,"TEMP Hooke’s great Micrographia of 1665 showed that the novel microscope was more than just a diversion – it could reveal an invisible world, a world which showed the perfection of God’s work at the same time as validating ‘the extension of the senses’.",interactive,node.hookes-microscope.jpg,,
node.robert-hooke,,node.person,,Robert Hooke,,,Robert Hooke,1635-1703,,,1669,,"TEMP Robert Hooke FRS was an English natural philosopher, architect and polymath. His adult life comprised three distinct periods: as a scientific inquirer lacking money; achieving great wealth and standing ...",still,node.robert-hooke.jpg,,
node.moon-globe,,node.artifact,,John Russell Selenographia moon globe,1949-117,,"Selenographia’, Moon Globe",1797,John Russell,node.john-russell,1797,,TEMP This is the oldest three-dimensional representation of the Moon. It also shows the moon’s libration and a dark side of the moon.,interactive,node.moon-globe.jpg,,
node.john-russell,,node.person,,John Russell,,,John Russell,1750(c)-1800(c.),,,1800,,TEMP  bio about him,still,node.john-russell.jpg,,
node.trevithick-model-engine,,node.artifact,,Trevithick’s model engine,1876-1269,,Trevithick’s model engine,1800 (c.),Richard Trevithick,node.richard-trevithick,1800,,"TEMP Richard Trevithick, the wayward brilliant Cornish engineer took over a field in London (near Euston) to show his new steam locomotive. It would circulate for paying spectators ( you could even ride on a carriage behind it). Trevithick’s adventurous spirit eventually took him to Peru to seek silver, venturing into the4 army of Simon Bolivar.  Later, he returned home broke on the charity of Robert Stephenson.",interactive,node.trevithick-model-engine.jpg,,
node.richard-trevithick,,node.person,,Richard Trevithick,,, ,1771-1833,,,1802,,"TEMP Richard Trevithick was a British inventor and mining engineer from Cornwall. Born in the mining heartland of Cornwall, Trevithick was immersed in mining and engineering from a young age",still,node.richard-trevithick.jpg,,
node.stephensons-rocket,,node.artifact,,Stephenson’s rocket,1862-5,,Stephenson’s Rocket,1829,Robert Stephenson,node.robert-stephenson,1829,,TEMP The famed locomotive that outperformed everything at the Rainhill trials. built by Stephenson and company.,interactive,node.stephensons-rocket.jpg,,
node.robert-stephenson,,node.person,,Robert Stephenson,,,Robert Stephenson,1803-1859,,,1831,,"TEMP Though building the famous Rocket was ajoint effort with his father and their family locomotive business, Robert was responsible for much of the design. He also built many bridges...etc.",still,node.robert-stephenson.jpg,,
node.enigma-machine,,node.artifact,,Enigma Machine,1980-1200,,Enigma Machine,1937,,,1937,,TEMP codes codes codes,interactive,node.enigma-machine.jpg,,
node.edison-lightbulb,,node.artifact,,Edison Lightbulb- or replica,1880-70,,Thomas Edison’s Lightbulb,1979,Thomas Edison,node.thomas-edison,1879,,TEMP The famous invention that changed the world,interactive,node.edison-lightbulb.jpg,,
node.geissler-tubes,,node.artifact,,Geissler tubes,1876-25,,Geissler Tubes,1855,,node.royal-society,1855,,"TEMP Extremely popular electrical demonstration – but key for later vacuum tube developments. [Working models are common.]
Showed mystical power of electricity - part of emerging understanding of atomic structure.",interactive,node.geissler-tubes.jpg,,
node.ipad,,node.artifact,,iPad,,,iPad,2010,Steve Jobs,node.steve-jobs,2010,,TEMP What you are holding in your hand right now!,still,node.ipad.jpg,,
node.zeotrope,,node.artifact,,Zeotrope,1950-153,,Zeotrope,1886,,,1886,,TEMP turn it and see the birds fly,interactive,node.zeotrope.jpg,,
node.first-colour-tv,,node.artifact,,first colour tv images,,,First Color Television images,1901-1903,,,1902,,"TEMP In 1899, just five years after British audiences first saw moving pictures, Edward Turner, a photographer and, and Frederick Marshall Lee, his financial backer, patented the first colour moving picture process in Britain.",video,node.first-colour-tv.jpg,,
node.silver-microscope,,node.artifact,,George Adams silver microscope,1949-116,,Silver Microscope,1761,Made by George Adams for the collection of George III,"node.george-adams
node.george-iii-collection",1761,,"TEMP One of the most ornate instruments ever made, this silver double-microscope was an attempt by the artisan George Adams to curry Royal favour.",rotatable,node.silver-microscope.jpg,,
node.george-adams,,node.person,,George Adams ,,,George Adams,1720(c.)-1773,,,1746,,TEMP  bio about him,still,node.george-adams.jpg,,
node.royal-society,,node.person,,Royal Society,,,Royal Society,1660-,,,1660,,"TEMP The Royal Society of London for Improving Natural Knowledge, known as the Royal Society, is a learned society for science, and is possibly the oldest such society in existence.[1] Founded in November 1660, it was granted a Royal Charter by King Charles II as the ""Royal Society of London"". The Society today acts as a scientific advisor to the British government, receiving a parliamentary grant-in-aid. The Society acts as the UK's Academy of Sciences, and funds research fellowships and scientific start-up companies.

Their motto is ‘nullius in verba’ - take nobody’s word for it!",still,node.royal-society.jpg,,
node.wollastons-crystal-models,,node.artifact,,"Wollaston’s crystal models, there are tons of them",1927-2066,,W. H. Wollaston’s Models showing Crystal Structure,1800 (c.),W.H. Wollaston,,1800,,TEMP lots of different types of wooden bits and bobs that show pretty molecule formations,rotatable,node.wollastons-crystal-models.jpg,,
